,post_id,text,annotatorid1,target1,label1,annotatorid2,target2,label2,annotatorid3,target3,label3,rationales,final_label,final_target_category
2995,27346316_gab,"['hey', 'nigger', 'lover', 'we', 'don', 't', 'care', 'what', 'you', 'have', 'to', 'say', 'here', 'go', 'back', 'to', 'your', 'nigger', 'friends']",26,['African'],hatespeech,70,"['Other', 'Minority', 'Other', 'African', 'Nonreligious', 'Other']",hatespeech,23,['African'],hatespeech,"[[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",hatespeech,['African']
3009,22878389_gab,"['is', 'there', 'not', '<number>', 'brit', 'with', 'the', 'brains', 'balls', 'to', 'assassinate', 'this', 'filthy', 'shit', 'skin', 'moslem', 'terrorist']",4,"['Other', 'Islam']",hatespeech,110,['Arab'],hatespeech,39,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]]",hatespeech,['Islam']
3011,1178502719868325888_twitter,"['<user>', 'get', 'well', 'soon', 'ching', 'chong', '😌']",46,['Asian'],hatespeech,110,['Asian'],offensive,4,['Asian'],hatespeech,"[[0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 0, 1, 1, 0]]",hatespeech,['Asian']
3013,8297655_gab,"['to', 'each', 'their', 'own', 'i', 'prefer', 'not', 'to', 'get', 'into', 'pissing', 'matches', 'with', 'wn', 'on', 'either', 'side', 'of', 'the', 'kike', 'on', 'a', 'stick', 'issue', 'i', 'd', 'rather', 'find', 'common', 'cause', 'with', 'both', 'factions', 'i', 'am', 'sure', 'a', 'christian', 'would', 'provide', 'you', 'better', 'discussion', 'on', 'the', 'matter']",4,['Jewish'],hatespeech,110,['Jewish'],hatespeech,39,['None'],normal,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Jewish']
3025,2694325_gab,"['<user>', 'lol', 'what', 'a', 'stupid', 'gook']",5,['None'],normal,3,['Jewish'],hatespeech,4,['Asian'],hatespeech,"[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 1]]",hatespeech,
3026,18424064_gab,"['white', 'guy', 'puts', 'ied', 'in', 'mall', 'and', 'the', 'response', 'is', 'fuck', 'all', 'muzzies', 'and', 'spics', 'stay', 'classy', 'gab']",5,['None'],normal,3,"['Hispanic', 'Islam']",hatespeech,4,"['Caucasian', 'Islam', 'Hispanic']",normal,[],normal,"['Hispanic', 'Islam']"
3032,18452041_gab,"['hey', 'how', 'about', 'you', 'go', 'be', 'a', 'kike', 'somewhere', 'else', 'schlomo', 'sound', 'good']",46,['Jewish'],hatespeech,9,['Jewish'],hatespeech,4,['Jewish'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]]",hatespeech,['Jewish']
3033,17181350_gab,"['kenyun', 'paki', 'at', '<number>']",46,['None'],normal,9,['None'],normal,39,['None'],normal,[],normal,
3039,1178809975931621376_twitter,"['<user>', '<user>', '<user>', '<user>', 'men', 'still', 'get', 'raped', 'and', 'assaulted', 'so', 'this', 'is', 'just', 'stupid']",9,['None'],normal,100,['None'],normal,18,['None'],normal,[],normal,
3049,5175528_gab,"['so', 'a', 'black', 'girl', 'wearing', 'a', 'trump', 'themed', 'dress', 'and', 'getting', 'called', 'coon', 'is', 'not', 'racist', 'but', 'another', 'black', 'girl', 'losing', 'an', 'award', 'to', 'a', 'white', 'girl', 'is', 'we', 'do', 'not', 'have', 'insane', 'asylums', 'big', 'enough', 'for', 'this', 'kind', 'of', 'mental', 'illness']",19,['African'],offensive,4,['African'],normal,9,['None'],normal,[],normal,['African']
3059,1186749782980734977_twitter,"['giving', 'dis', 'hoe', 'back', 'to', 'da', 'streets']",7,['Women'],offensive,25,['None'],normal,4,['Women'],offensive,"[[0, 0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",offensive,['Women']
3094,1178844472869818368_twitter,"['<user>', 'the', 'day', 'our', 'master', 'brought', 'home', 'trailer', 'trash']",4,['None'],normal,9,['None'],normal,2,['None'],normal,[],normal,
3104,22340916_gab,"['hopefully', 'he', 'gets', 'rid', 'of', 'the', 'faggots', 'and', 'dykes', 'next']",6,['Homosexual'],offensive,4,['Homosexual'],hatespeech,67,['Homosexual'],offensive,"[[0, 0, 0, 0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, 1, 1, 1, 1, 1, 0], [0, 0, 0, 0, 0, 0, 1, 0, 1, 0]]",offensive,['Homosexual']
3118,1179095674622746631_twitter,"['<user>', 'if', 'they', 'all', 'look', 'like', 'these', 'who', 'am', 'i', 'to', 'block', 'god', 'blessings', '😊']",17,['None'],normal,9,['None'],normal,10,['None'],normal,[],normal,
3131,1171831859992498177_twitter,"['nasa', 'missed', 'the', 'perfect', 'chance', 'to', 'send', 'a', 'man', 'and', 'women', 'to', 'the', 'moon', 'to', 'have', '<number>', 'sixty', 'nine', 'in', '<number>']",4,['None'],normal,7,['None'],normal,6,['None'],normal,[],normal,
3180,1178712835800653824_twitter,"['<user>', '<user>', 'thats', 'a', 'leap', 'do', 'black', 'people', 'who', 'love', 'black', 'people', 'want', 'a', 'black', 'only', 'nation', 'do', 'asians', 'who', 'love', 'asians', 'want', 'an', 'asian', 'only', 'nation', 'these', 'are', 'assumptions', 'you', 'only', 'make', 'about', 'white', 'people', 'simply', 'because', 'you', 'resent', 'them', 'you', 'resent', 'us', 'because', 'we', 'are', 'were', 'the', 'majority']",52,['None'],normal,1,['None'],normal,39,['None'],normal,[],normal,
3181,1179028195720536064_twitter,"['<user>', 'some', 'apologies', 'are', 'genuine', 'and', 'from', 'the', 'heart', 'this', 'is', 'lame', 'merely', 'damage', 'control', 'but', 'you', 'can', 'not', 'control', 'the', 'damage', 'of', 'what', 'amounts', 'to', 'holocaust', 'denial', 'with', 'what', 'appears', 'to', 'be', 'an', 'inter', 'office', 'style', 'memo', 'it', 'inadequate', 'you', 'have', 'deeply', 'offended', 'jews', 'all', 'over', 'the', 'world']",52,['None'],normal,1,['None'],normal,39,['None'],normal,[],normal,
3183,19840406_gab,"['koko', 'probably', 'the', 'father', 'of', 'these', 'nigger', 'kids']",18,['None'],normal,100,['African'],hatespeech,4,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 1, 1]]",hatespeech,['African']
3188,16511498_gab,"['the', 'nigger', 'tax', 'strikes', 'again']",141,['African'],hatespeech,4,['African'],hatespeech,6,['African'],offensive,"[[0, 1, 0, 0, 0], [0, 1, 0, 0, 0], [0, 1, 0, 0, 0]]",hatespeech,['African']
3197,10177273_gab,"['o', 'pleez', 'god', 'hates', 'queers', 'both', '0', 'bamas', 'are', 'male', 'both', 'have', 'a', 'penis', 'the', 'mooch', 'is', 'a', 'hideous', 'anti', 'america', 'phony', 'nothin', 'to', 'do', 'with', 'skin', 'color', 'hope', 'mooch', 'is', 'jealous', 'of', 'our', 'beautiful', 'lady', 'melania']",4,"['African', 'Homosexual']",hatespeech,3,['Homosexual'],hatespeech,41,"['Men', 'Homosexual']",offensive,"[[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Homosexual']
3200,9968459_gab,"['i', 'hate', 'that', 'wailing', 'muzrat', 'shit']",84,['None'],normal,4,['Islam'],hatespeech,18,['Islam'],hatespeech,"[[0, 1, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1]]",hatespeech,['Islam']
3207,1179098993600745472_twitter,"['<user>', '<user>', 'fucking', 'retard']",83,['Disability'],hatespeech,9,['None'],hatespeech,3,['Disability'],offensive,"[[0, 0, 0, 1], [0, 0, 1, 1], [0, 0, 1, 1]]",hatespeech,
3237,23025821_gab,"['thelma', 'and', 'louise', 'with', 'a', 'half', 'dozen', 'nigger', 'kids', 'in', 'the', 'back']",3,['African'],hatespeech,13,['African'],offensive,4,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]]",hatespeech,['African']
3238,1178595083534454784_twitter,"['good', 'morning', 'tonight', 'i', 'had', 'a', 'nightmare', 'where', 'all', 'tj', 'suddenly', 'became', 'horny', 'for', 'todd', 'and', 'people', 'were', 'shipping', 'him', 'with', 'hank', 'there', 'were', 'fanarts', 'and', 'whole', 'threads', 'about', 'it', 'and', 'i', 'wanted', 'to', 'kill', 'every', 'single', 'one', 'of', 'you']",96,['None'],normal,4,['None'],normal,1,['None'],normal,[],normal,
3247,20685925_gab,"['i', 'guess', 'i', 'get', 'complacent', 'and', 'forget', 'not', 'everyone', 'lives', 'in', 'florida', 'or', 'has', 'heard', 'their', 'names', 'most', 'anyone', 'i', 'talk', 'to', 'in', 'a', 'real', 'life', 'situation', 'knows', 'of', 'them', 'of', 'course', 'most', 'anyone', 'i', 'talk', 'to', 'here', 'is', 'in', 'agreement', 'where', 'liberals', 'rats', 'and', 'muzzies', 'are', 'concerned']",54,['Islam'],hatespeech,17,['Islam'],hatespeech,4,"['African', 'Jewish']",hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",hatespeech,['Islam']
3268,24168193_gab,"['or', 'the', 'construction', 'company', 'hired', 'some', 'raghead', 'sleeper', 'cell', 'asshole']",25,['Arab'],hatespeech,4,"['Other', 'Arab']",hatespeech,7,['Islam'],hatespeech,"[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 0]]",hatespeech,['Arab']
3272,13075034_gab,"['jim', 'daughty', 'at', 'the', 'croton', 'gazette', 'is', 'a', 'nigger', 'lover', 'dickens', 'sneezed', 'a', 'lot']",25,['African'],hatespeech,6,['African'],hatespeech,7,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]]",hatespeech,['African']
3280,23728077_gab,"['because', 'that', 'is', 'freyrs', 'job', 'virility', 'and', 'why', 'has', 'not', 'jesus', 'turned', 'your', 'nigger', 'blood', 'white']",4,['African'],hatespeech,6,['African'],offensive,81,['African'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]]",hatespeech,['African']
3281,12006705_gab,"['how', 'do', 'you', 'keep', 'nigger', 'kids', 'from', 'jumping', 'on', 'the', 'bed', 'you', 'put', 'velcro', 'on', 'the', 'ceiling']",4,['African'],hatespeech,6,['African'],offensive,81,['African'],hatespeech,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['African']
3292,1178610029273976833_twitter,"['<user>', 'men', 'can', 'not', 'be', 'raped', 'can', 'not', 'be', 'abused', 'that', 'why', 'they', 'call', 'it', 'violence', 'against', 'women', 'and', 'children', 'because', 'men', 'are', 'always', 'the', 'perpetrators', 'women', 'come', 'first', 'even', 'before', 'children']",9,['None'],normal,17,['None'],normal,64,['None'],normal,[],normal,
3303,15073757_gab,"['you', 'promote', 'articles', 'by', 'fat', 'dyke', 'pipe', 'fitters', 'that', 'a', 'fantasy']",4,['Homosexual'],offensive,44,"['Women', 'Homosexual']",hatespeech,53,['Homosexual'],offensive,"[[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]]",offensive,['Homosexual']
3304,1179064024094400512_twitter,"['nah', 'bitch', 'quit', 'playing', 'with', 'me']",21,['None'],normal,4,['Women'],normal,53,['None'],normal,[],normal,
3320,24665773_gab,"['amy', 'loves', 'to', 'guzzle', 'down', 'nigger', 'cum']",81,['African'],hatespeech,39,['African'],offensive,4,"['African', 'Women']",hatespeech,"[[0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 1, 1, 1, 1, 1, 1]]",hatespeech,['African']
3333,19399191_gab,"['it', 'was', 'better', 'off', 'when', 'apartheid', 'existed', 'now', 'its', 'a', 'nigger', 'shithole', 'niggers', 'are', 'killing', 'whites', 'get', 'out', 'or', 'stay', 'away']",4,['African'],hatespeech,14,['African'],hatespeech,1,['African'],hatespeech,"[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",hatespeech,['African']
3347,1109896674166624256_twitter,"['do', 'you', 'see', 'that', 'nice', 'black', 'and', 'red', 'fish', 'with', 'a', 'nice', 'grin', 'over', 'there']",16,['None'],normal,6,['None'],normal,7,['None'],normal,[],normal,
3356,27802700_gab,"['kikes', 'like', 'faggots', 'because', 'they', 'make', 'good', 'pets', 'just', 'like', 'the', 'nigger', 'the', 'best', 'kike', 'pet', 'is', 'a', 'nigger', 'faggot']",46,"['African', 'Jewish', 'Homosexual']",hatespeech,70,"['Other', 'Minority', 'Other', 'African', 'Jewish', 'Homosexual']",hatespeech,96,"['African', 'Jewish', 'Homosexual']",hatespeech,"[[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]]",hatespeech,"['Jewish', 'African', 'Homosexual']"
3358,16921321_gab,"['lol', 'good', 'nigger', '<user>']",46,['African'],hatespeech,70,"['Other', 'Minority', 'Other', 'African', 'Nonreligious', 'Other']",hatespeech,96,['African'],hatespeech,"[[0, 0, 1, 0], [0, 0, 1, 0], [0, 0, 1, 0]]",hatespeech,['African']
3370,21253188_gab,"['i', 'do', 'not', 'know', 'what', 'i', 'd', 'prefer', 'to', 'see', 'happen', 'to', 'owen', 'him', 'thrown', 'off', 'a', 'roof', 'by', 'a', 'moslem', 'refugee', 'or', 'to', 'suffer', 'a', 'long', 'agonizing', 'death', 'by', 'aid']",4,"['Refugee', 'Islam']",hatespeech,6,['None'],normal,19,['Men'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]]",hatespeech,
3383,14550110_gab,"['is', 'not', 'a', 'mudslime', 'touching', 'a', 'boy', 'dick', 'frigging', 'it', 'with', 'lubricant', 'to', 'get', 'it', 'a', 'little', 'hard', 'then', 'mutilating', 'it', 'with', 'a', 'knife', 'sort', 'of', 'faggy', 'or', 'am', 'i', 'being', 'a', 'bitch', 'mudrape']",46,"['Arab', 'Homosexual']",hatespeech,4,['Islam'],hatespeech,3,['Homosexual'],hatespeech,"[[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,['Homosexual']
3390,16596098_gab,"['fyi', 'the', 'relay', 'nigger', 'arrived', 'shekels', 'delivered']",1,['African'],hatespeech,46,['African'],hatespeech,4,"['African', 'Jewish']",hatespeech,"[[0, 0, 1, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0]]",hatespeech,['African']
3399,12580428_gab,"['specific', 'threats', 'of', 'violence', 'should', 'never', 'be', 'permitted', 'kill', 'the', 'honky', 'is', 'allowed', 'as', 'it', 'is', 'interpreted', 'as', 'political', 'speech', 'kill', 'that', 'honky', 'at', '<number>', 'main', 'street', 'is', 'a', 'specific', 'threat', 'and', 'should', 'be', 'banned']",4,['Caucasian'],normal,19,['None'],normal,25,['None'],normal,[],normal,
3407,16908788_gab,"['you', 'can', 'not', 'culturally', 'enrich', 'a', 'moslem']",3,['Islam'],hatespeech,18,['Islam'],hatespeech,25,['Arab'],hatespeech,"[[0, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1]]",hatespeech,['Islam']
3416,19084094_gab,"['the', 'dirty', 'wee', 'paki', 'that', 'lives', 'beside', 'me', 'came', 'to', 'my', 'house', 'there', 'very', 'upset', 'said', 'racists', 'have', 'been', 'putting', 'threatening', 'letters', 'through', 'his', 'door', 'turns', 'out', 'it', 'was', 'a', 'fiver', 'off', 'soap', 'coupons']",27,['Indian'],offensive,4,"['Other', 'Islam']",hatespeech,9,['Asian'],hatespeech,"[[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",hatespeech,
3418,21276945_gab,"['loll', 'calling', 'me', 'a', 'zhid', 'and', 'pedophile', 'when', 'i', 'am', 'neither']",27,['Jewish'],offensive,4,"['Other', 'Jewish']",normal,9,['None'],normal,[],normal,['Jewish']
3422,1177687442725494787_twitter,"['<user>', '😭', '😭', '😭', 'okay', 'cause', 'she', 'was', 'mad', 'as', 'fuck', 'like', 'what', 'the', 'niggers', 'do', 'to', 'you', 'ma', 'am', '😭', '😭']",4,['African'],hatespeech,100,['African'],offensive,2,['African'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]]",offensive,['African']
3440,1185184833640652800_twitter,"['is', 'slutshaming', 'still', 'a', 'thing', 'yikes']",70,['None'],normal,7,['None'],normal,6,['None'],normal,[],normal,
3446,1179048241045872640_twitter,"['<user>', '😂', 'mary', 'my', 'dear', 'you', 'can', 'not', 'kill', 'yourself', 'come', 'back', 'let', 'us', 'finish', 'ourselves', 'at', 'ojuelegba']",17,['None'],normal,3,['None'],normal,60,['None'],normal,[],normal,
3449,1179093514635882496_twitter,"['fucking', 'retarded', 'white', 'people', 'on', 'twitter', 'saying', 'the', 'n', 'word', 'hiding', 'behind', 'an', 'anime', 'avi', 'virgin']",143,['Disability'],offensive,3,"['Disability', 'Caucasian']",offensive,4,"['Other', 'Caucasian']",hatespeech,"[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Caucasian']
3453,18229892_gab,"['mysterium', 'tremens', 'why', 'do', 'new', 'yorkers', 'continue', 'to', 'support', 'insane', 'kike', 'djuggie', 'schooma']",95,['Jewish'],hatespeech,4,['Jewish'],hatespeech,9,['Jewish'],hatespeech,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]",hatespeech,['Jewish']
3459,1179077143592087553_twitter,"['<user>', 'google', 'aa', 'girl', 'having', 'hair', 'cut', 'off', 'by', '<number>', 'white', 'boys', 'at', 'the', 'school', 'where', 'pence', 'wife', 'works', 'cnn', 'nbc', 'bbc', 'cbs', 'they', 'were', 'all', 'in', 'and', 'indirect', 'smear', 'of', 'pence', 'turns', 'out', 'fake', 'but', 'that', 'is', 'journalism', 'these', 'days']",17,['None'],normal,9,['None'],normal,51,['None'],normal,[],normal,
3460,1179093145319084032_twitter,"['<user>', '<user>', 'the', 'mistake', 'was', 'that', 'the', 'dinosaurs', 'did', 'not', 'kill', 'all', 'humans']",17,['None'],normal,9,['None'],normal,51,['None'],normal,[],normal,
3469,20427890_gab,"['he', 'called', 'me', 'a', 'pig', 'when', 'i', 'asked', 'question', 'lol', 'he', 'has', 'no', 'answer', 'its', 'just', 'typical', 'yid', 'technique', 'believe', 'me', 'even', 'i', 'lie', 'otherwise', 'it', 'anti', 'semitic']",4,['Jewish'],hatespeech,67,['Jewish'],offensive,6,['Jewish'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['Jewish']
3470,3284473_gab,"['<user>', 'trump', 'acts', 'like', 'a', 'president', 'obama', 'acts', 'like', 'a', 'nigger', 'street', 'punk', 'from', 'chicago', 'the', 'clintons', 'act', 'like', 'white', 'trash', 'spoiled', 'crybabies', 'and', 'sore', 'losers']",4,"['Other', 'African', 'Caucasian']",hatespeech,67,['African'],offensive,6,['African'],offensive,"[[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",offensive,['African']
3480,22152349_gab,"['those', 'are', 'called', 'niglets']",59,['African'],hatespeech,4,['African'],hatespeech,58,['African'],hatespeech,"[[0, 0, 0, 1], [0, 0, 0, 1], [0, 0, 0, 1]]",hatespeech,['African']
3483,1178992149037289473_twitter,"['sterling', 'is', 'a', 'fucking', 'retard']",59,['Disability'],offensive,144,['None'],hatespeech,4,['Other'],offensive,"[[0, 0, 0, 1, 1], [0, 0, 0, 1, 1], [0, 0, 0, 0, 1]]",offensive,
3509,11311964_gab,"['another', 'bbc', 'poster', 'paki', 'stani']",13,['None'],normal,9,['None'],normal,46,['None'],normal,[],normal,
3510,7672117_gab,"['he', 'sounds', 'like', 'a', 'clothing', 'line', 'i', 'will', 'start', 'a', 'line', 'of', 'robes', 'called', 'tommy', 'goatfucker']",13,['Islam'],offensive,4,['Arab'],hatespeech,46,['Arab'],offensive,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]]",offensive,['Arab']
